#
#
#
#
#
#
#
#   Quelldatei:groundel100-25.gxx  
#    Zieldatei:groundel100-25.dat  
#
#  Querschnitt:   170.410
#   Messlaenge:    15.000
#     [N/mm**2]            [N]        [%-ext]       [%-trav]            [s]           [mm]
#
         0.5508        93.8600        50.0267        50.0267      3630.5000       413.6520
         0.5502        93.7600        50.0267        50.0267      3631.0100       413.6520
         0.5496        93.6600        50.0267        50.0267      3631.5200       413.6520
         0.5493        93.6000        50.0267        50.0267      3632.0300       413.6520
         0.5487        93.5000        50.0267        50.0267      3632.5400       413.6520
         0.5482        93.4200        50.0267        50.0267      3633.0500       413.6520
         0.5477        93.3400        50.0267        50.0267      3633.5601       413.6520
         0.5473        93.2600        50.0267        50.0267      3634.0701       413.6520
         0.5468        93.1800        50.0267        50.0267      3634.5801       413.6520
         0.5464        93.1200        50.0267        50.0267      3635.0901       413.6520
         0.5459        93.0200        50.0267        50.0267      3635.6001       413.6520
         0.5454        92.9400        50.0267        50.0267      3636.1101       413.6520
         0.5450        92.8800        50.0267        50.0267      3636.6201       413.6520
         0.5447        92.8200        50.0267        50.0267      3637.1299       413.6520
         0.5442        92.7400        50.0267        50.0267      3637.6399       413.6520
         0.5439        92.6800        50.0267        50.0267      3638.1499       413.6520
         0.5435        92.6200        50.0267        50.0267      3638.6599       413.6520
         0.5430        92.5400        50.0267        50.0267      3639.1699       413.6520
         0.5427        92.4800        50.0267        50.0267      3639.6799       413.6520
         0.5422        92.4000        50.0267        50.0267      3640.1899       413.6520
         0.5183        88.3200        50.0267        50.0267      3700.2200       413.6130
         0.5089        86.7200        50.0267        50.0267      3760.2500       413.6130
         0.5027        85.6600        50.0267        50.0267      3820.2800       413.6130
         0.4983        84.9200        50.0267        50.0267      3880.3101       413.6130
         0.4948        84.3200        50.0267        50.0267      3940.3401       413.6130
         0.4919        83.8200        50.0267        50.0267      4000.3701       413.6130
         0.4895        83.4200        50.0267        50.0267      4060.3999       413.6130
         0.4873        83.0400        50.0267        50.0267      4120.4302       413.6130
         0.4854        82.7200        50.0267        50.0267      4180.4600       413.6130
         0.4838        82.4400        50.0267        50.0267      4240.4902       413.6130
         0.4822        82.1800        50.0267        50.0267      4300.5200       413.6130
         0.4810        81.9600        50.0267        50.0267      4360.5498       413.6130
         0.4795        81.7200        50.0267        50.0267      4420.5801       413.6130
         0.4784        81.5200        50.0267        50.0267      4480.6099       413.6130
         0.4773        81.3400        50.0267        50.0267      4540.6401       413.6130
         0.4763        81.1600        50.0267        50.0267      4600.6699       413.6130
         0.4753        81.0000        50.0267        50.0267      4660.7002       413.6130
         0.4744        80.8400        50.0267        50.0267      4720.7300       413.6130
         0.4734        80.6800        50.0267        50.0267      4780.7598       413.6130
         0.4726        80.5400        50.0267        50.0267      4840.7900       413.6130
         0.4719        80.4200        50.0267        50.0267      4900.8198       413.6130
         0.4711        80.2800        50.0267        50.0267      4960.8501       413.6130
         0.4705        80.1800        50.0267        50.0267      5020.8799       413.6130
         0.4697        80.0400        50.0267        50.0267      5080.9102       413.6130
         0.4691        79.9400        50.0267        50.0267      5140.9399       413.6130
         0.4684        79.8200        50.0267        50.0267      5200.9702       413.6130
         0.4678        79.7200        50.0267        50.0267      5261.0000       413.6130
         0.4672        79.6200        50.0267        50.0267      5321.0298       413.6130
         0.4666        79.5200        50.0267        50.0267      5381.0601       413.6130
         0.4662        79.4400        50.0267        50.0267      5441.0898       413.6130
         0.4656        79.3400        50.0267        50.0267      5501.1201       413.6130
         0.4650        79.2400        50.0267        50.0267      5561.1499       413.6130
         0.4645        79.1600        50.0267        50.0267      5621.1802       413.6130
         0.4639        79.0600        50.0267        50.0267      5681.2100       413.6130
         0.4636        79.0000        50.0267        50.0267      5741.2402       413.6130
         0.4631        78.9200        50.0267        50.0267      5801.2700       413.6130
         0.4626        78.8400        50.0267        50.0267      5861.2998       413.6130
         0.4628        78.8600        50.0267        50.0267      5921.3301       413.6550
         0.4623        78.7800        50.0267        50.0267      5981.3599       413.6550
         0.4618        78.7000        50.0267        50.0267      6041.3901       413.6550
         0.4615        78.6400        50.0267        50.0267      6101.4199       413.6550
         0.4610        78.5600        50.0267        50.0267      6161.4502       413.6550
         0.4605        78.4800        50.0267        50.0267      6221.4800       413.6550
         0.4602        78.4200        50.0267        50.0267      6281.5098       413.6550
         0.4598        78.3600        50.0267        50.0267      6341.5400       413.6550
         0.4595        78.3000        50.0267        50.0267      6401.5698       413.6550
         0.4590        78.2200        50.0267        50.0267      6461.6001       413.6550
         0.4588        78.1800        50.0267        50.0267      6521.6299       413.6550
         0.4583        78.1000        50.0267        50.0267      6581.6602       413.6550
         0.4581        78.0600        50.0267        50.0267      6641.6899       413.6550
         0.4577        78.0000        50.0267        50.0267      6701.7202       413.6550
         0.4575        77.9600        50.0267        50.0267      6761.7500       413.6550
         0.4571        77.9000        50.0267        50.0267      6821.7798       413.6550
         0.4568        77.8400        50.0267        50.0267      6881.8101       413.6550
         0.4565        77.8000        50.0267        50.0267      6941.8398       413.6550
         0.4562        77.7400        50.0267        50.0267      7001.8701       413.6550
         0.4558        77.6800        50.0267        50.0267      7061.8999       413.6550
         0.4556        77.6400        50.0267        50.0267      7121.9302       413.6550
         0.4553        77.5800        50.0267        50.0267      7181.9600       413.6550
         0.4551        77.5600        50.0267        50.0267      7210.6401       413.6550
         0.4555        77.6200        50.0267        50.0267      7210.7598       413.6690
         0.4588        78.1800        50.1933        50.1933      7210.8799       413.7170
         0.4619        78.7200        50.3533        50.3533      7211.0000       413.7690
         0.4705        80.1800        50.9000        50.9000      7211.1201       413.9390
         0.4811        81.9800        51.5467        51.5467      7211.2402       414.1300
         0.4911        83.6800        52.2267        52.2267      7211.3599       414.3220
         0.4997        85.1600        52.8733        52.8733      7211.4800       414.5080
         0.5083        86.6200        53.4933        53.4933      7211.6001       414.6940
         0.5164        88.0000        54.1067        54.1067      7211.7202       414.8770
         0.5239        89.2800        54.7200        54.7200      7211.8398       415.0560
         0.5312        90.5200        55.3667        55.3667      7211.9600       415.2340
         0.5379        91.6600        55.9533        55.9533      7212.0801       415.4060
         0.5448        92.8400        56.4667        56.4667      7212.2002       415.5780
         0.5514        93.9600        57.0800        57.0800      7212.3198       415.7560
         0.5578        95.0600        57.7600        57.7600      7212.4399       415.9350
         0.5641        96.1200        58.4067        58.4067      7212.5601       416.1100
         0.5697        97.0800        58.9933        58.9933      7212.6802       416.2750
         0.5754        98.0600        59.5400        59.5400      7212.7998       416.4400
         0.5812        99.0400        60.0933        60.0933      7212.9199       416.6060
         0.5869       100.0200        60.6400        60.6400      7213.0400       416.7740
         0.5926       100.9800        61.2600        61.2600      7213.1602       416.9460
         0.5986       102.0000        61.8733        61.8733      7213.2798       417.1240
         0.6045       103.0200        62.4867        62.4867      7213.3999       417.3040
         0.6102       103.9800        63.0667        63.0667      7213.5200       417.4760
         0.6157       104.9200        63.6533        63.6533      7213.6401       417.6500
         0.6209       105.8000        64.2333        64.2333      7213.7598       417.8230
         0.6261       106.7000        64.8467        64.8467      7213.8799       417.9980
         0.6313       107.5800        65.4667        65.4667      7214.0000       418.1740
         0.6363       108.4400        66.0800        66.0800      7214.1201       418.3470
         0.6413       109.2800        66.6933        66.6933      7214.2402       418.5190
         0.6462       110.1200        67.2733        67.2733      7214.3599       418.6910
         0.6511       110.9600        67.8267        67.8267      7214.4800       418.8620
         0.6558       111.7600        68.4400        68.4400      7214.6001       419.0350
         0.6605       112.5600        69.0533        69.0533      7214.7202       419.2060
         0.6651       113.3400        69.7067        69.7067      7214.8398       419.3770
         0.6697       114.1200        70.2867        70.2867      7214.9600       419.5480
         0.6740       114.8600        70.8067        70.8067      7215.0801       419.7120
         0.6781       115.5600        71.4200        71.4200      7215.2002       419.8760
         0.6826       116.3200        72.0000        72.0000      7215.3198       420.0460
         0.6873       117.1200        72.6133        72.6133      7215.4399       420.2180
         0.6919       117.9000        73.2000        73.2000      7215.5601       420.3900
         0.6960       118.6000        73.8133        73.8133      7215.6802       420.5610
         0.7003       119.3400        74.4267        74.4267      7215.7998       420.7330
         0.7044       120.0400        75.0733        75.0733      7215.9199       420.9020
    #    0.6949       118.4200        75.4000        75.4000      7216.4302       420.9680
    #    0.6865       116.9800        75.4000        75.4000      7216.9399       420.9310
    #    0.6775       115.4600        75.3000        75.3000      7217.4502       420.8610
    #    0.6714       114.4200        75.1400        75.1400      7217.9600       420.8110
    #    0.6677       113.7800        75.1067        75.1067      7218.4702       420.7910
         0.6647       113.2800        75.0733        75.0733      7218.9800       420.7820
         0.6625       112.9000        75.0733        75.0733      7219.4902       420.7810
         0.6603       112.5200        75.0733        75.0733      7220.0000       420.7800
         0.6583       112.1800        75.0733        75.0733      7220.5098       420.7790
         0.6565       111.8800        75.0733        75.0733      7221.0200       420.7790
         0.6549       111.6000        75.0733        75.0733      7221.5298       420.7790
         0.6535       111.3600        75.0733        75.0733      7222.0400       420.7790
         0.6521       111.1200        75.0733        75.0733      7222.5498       420.7790
         0.6508       110.9000        75.0733        75.0733      7223.0601       420.7790
         0.6495       110.6800        75.0733        75.0733      7223.5698       420.7790
         0.6484       110.5000        75.0733        75.0733      7224.0801       420.7790
         0.6473       110.3000        75.0733        75.0733      7224.5898       420.7790
         0.6462       110.1200        75.0733        75.0733      7225.1001       420.7790
         0.6453       109.9600        75.0733        75.0733      7225.6099       420.7790
         0.6443       109.8000        75.0733        75.0733      7226.1201       420.7790
         0.6435       109.6600        75.0733        75.0733      7226.6299       420.7790
         0.6426       109.5000        75.0733        75.0733      7227.1401       420.7790
         0.6417       109.3600        75.0733        75.0733      7227.6499       420.7790
         0.6409       109.2200        75.0733        75.0733      7228.1602       420.7790
         0.6402       109.1000        75.0733        75.0733      7228.6699       420.7790
    #    0.6395       108.9800        75.1067        75.1067      7229.1802       420.7770
    #    0.6385       108.8000        75.1067        75.1067      7229.6899       420.7740
    #    0.6374       108.6200        75.1067        75.1067      7230.2002       420.7660
    #    0.6362       108.4200        75.1067        75.1067      7230.7100       420.7540
         0.6354       108.2800        75.0733        75.0733      7231.2202       420.7470
         0.6347       108.1600        75.0733        75.0733      7231.7300       420.7450
         0.6341       108.0600        75.0733        75.0733      7232.2402       420.7440
         0.6336       107.9800        75.0733        75.0733      7232.7500       420.7430
         0.6332       107.9000        75.0733        75.0733      7233.2598       420.7430
         0.6326       107.8000        75.0733        75.0733      7233.7700       420.7430
         0.6321       107.7200        75.0733        75.0733      7234.2798       420.7430
         0.6317       107.6400        75.0733        75.0733      7234.7900       420.7430
         0.6312       107.5600        75.0733        75.0733      7235.2998       420.7430
         0.6306       107.4600        75.0733        75.0733      7235.8101       420.7430
         0.6304       107.4200        75.0733        75.0733      7236.3198       420.7430
         0.6298       107.3200        75.0733        75.0733      7236.8301       420.7430
         0.6294       107.2600        75.0733        75.0733      7237.3398       420.7430
         0.6290       107.1800        75.0733        75.0733      7237.8501       420.7420
         0.6287       107.1400        75.0733        75.0733      7238.3599       420.7420
         0.6281       107.0400        75.0733        75.0733      7238.8701       420.7420
         0.6278       106.9800        75.0733        75.0733      7239.3799       420.7420
         0.6274       106.9200        75.0733        75.0733      7239.8901       420.7420
         0.6271       106.8600        75.0733        75.0733      7240.3999       420.7420
         0.6266       106.7800        75.0733        75.0733      7240.9102       420.7420
         0.6263       106.7200        75.0733        75.0733      7241.4199       420.7420
         0.6260       106.6800        75.0733        75.0733      7241.9302       420.7420
         0.6257       106.6200        75.0733        75.0733      7242.4399       420.7420
         0.6252       106.5400        75.0733        75.0733      7242.9502       420.7420
         0.6250       106.5000        75.0733        75.0733      7243.4600       420.7420
         0.6246       106.4400        75.0733        75.0733      7243.9702       420.7420
